program,mode,threads,time,result
omp7,reduction,1,0.0386528,5000952552443
omp7,critical,1,0.0393716,5000952552443
omp7,atomic,1,0.053785,5000952552443
omp7,lock,1,0.0384865,5000952552443
omp7,reduction,2,0.019747,5000952552443
omp7,critical,2,0.0195864,5000952552443
omp7,atomic,2,0.191736,5000952552443
omp7,lock,2,0.0205781,5000952552443
omp7,reduction,3,0.0132076,5000952552443
omp7,critical,3,0.0131967,5000952552443
omp7,atomic,3,0.197001,5000952552443
omp7,lock,3,0.0131413,5000952552443
omp7,reduction,4,0.0100419,5000952552443
omp7,critical,4,0.0101788,5000952552443
omp7,atomic,4,0.184113,5000952552443
omp7,lock,4,0.010074,5000952552443
omp7,reduction,6,0.00706828,5000952552443
omp7,critical,6,0.00703394,5000952552443
omp7,atomic,6,0.237253,5000952552443
omp7,lock,6,0.00705279,5000952552443
omp7,reduction,8,0.00879955,5000952552443
omp7,critical,8,0.00874386,5000952552443
omp7,atomic,8,0.197288,5000952552443
omp7,lock,8,0.00896553,5000952552443
omp7,reduction,10,0.00742448,5000952552443
omp7,critical,10,0.00781424,5000952552443
omp7,atomic,10,0.105084,5000952552443
omp7,lock,10,0.00771769,5000952552443
omp7,reduction,12,0.00685227,5000952552443
omp7,critical,12,0.00645237,5000952552443
omp7,atomic,12,0.09517,5000952552443
omp7,lock,12,0.00638943,5000952552443
