taskName,argString,numThreads,timeSeconds,result,runIndex
OpenMP_9,1500 1500 flat 1 12345,1,0.00239552,6193,1
OpenMP_9,1500 1500 flat 1 12345,1,0.0023875,6193,2
OpenMP_9,1500 1500 flat 1 12345,1,0.00240905,6193,3
OpenMP_9,1500 1500 flat 1 12345,6,0.00118735,6193,1
OpenMP_9,1500 1500 flat 1 12345,6,0.00121462,6193,2
OpenMP_9,1500 1500 flat 1 12345,6,0.00110376,6193,3
OpenMP_9,1500 1500 flat 1 12345,12,0.00668939,6193,1
OpenMP_9,1500 1500 flat 1 12345,12,0.00130115,6193,2
OpenMP_9,1500 1500 flat 1 12345,12,0.00722347,6193,3
OpenMP_9,1500 1500 nested 2 12345,1,0.0357167,6193,1
OpenMP_9,1500 1500 nested 2 12345,1,0.0368778,6193,2
OpenMP_9,1500 1500 nested 2 12345,1,0.0359035,6193,3
OpenMP_9,1500 1500 nested 2 12345,6,0.0126719,6193,1
OpenMP_9,1500 1500 nested 2 12345,6,0.0138083,6193,2
OpenMP_9,1500 1500 nested 2 12345,6,0.0158427,6193,3
OpenMP_9,1500 1500 nested 2 12345,12,0.019605,6193,1
OpenMP_9,1500 1500 nested 2 12345,12,0.0191356,6193,2
OpenMP_9,1500 1500 nested 2 12345,12,0.0189005,6193,3
OpenMP_9,3000 1500 flat 1 12345,1,0.00487237,6193,1
OpenMP_9,3000 1500 flat 1 12345,1,0.00481503,6193,2
OpenMP_9,3000 1500 flat 1 12345,1,0.0048102,6193,3
OpenMP_9,3000 1500 flat 1 12345,6,0.0023063,6193,1
OpenMP_9,3000 1500 flat 1 12345,6,0.00207075,6193,2
OpenMP_9,3000 1500 flat 1 12345,6,0.00252884,6193,3
OpenMP_9,3000 1500 flat 1 12345,12,0.00209268,6193,1
OpenMP_9,3000 1500 flat 1 12345,12,0.0020733,6193,2
OpenMP_9,3000 1500 flat 1 12345,12,0.00183971,6193,3
OpenMP_9,3000 1500 nested 2 12345,1,0.0710307,6193,1
OpenMP_9,3000 1500 nested 2 12345,1,0.0707867,6193,2
OpenMP_9,3000 1500 nested 2 12345,1,0.0729524,6193,3
OpenMP_9,3000 1500 nested 2 12345,6,0.0288709,6193,1
OpenMP_9,3000 1500 nested 2 12345,6,0.0306943,6193,2
OpenMP_9,3000 1500 nested 2 12345,6,0.0284289,6193,3
OpenMP_9,3000 1500 nested 2 12345,12,0.0385511,6193,1
OpenMP_9,3000 1500 nested 2 12345,12,0.0382426,6193,2
OpenMP_9,3000 1500 nested 2 12345,12,0.0377079,6193,3
