program,mode,threads,time,result
omp2,reduction,1,0.220876,7500958968090535745
omp2,atomic,1,0.264235,7500958968090535745
omp2,reduction,2,0.11087,7500958968090535745
omp2,atomic,2,0.111064,7500958968090535745
omp2,reduction,3,0.0754788,7500958968090535745
omp2,atomic,3,0.0760192,7500958968090535745
omp2,reduction,4,0.0569378,7500958968090535745
omp2,atomic,4,0.056855,7500958968090535745
omp2,reduction,6,0.0399314,7500958968090535745
omp2,atomic,6,0.0399858,7500958968090535745
omp2,reduction,8,0.05204,7500958968090535745
omp2,atomic,8,0.051118,7500958968090535745
omp2,reduction,10,0.0422908,7500958968090535745
omp2,atomic,10,0.0415599,7500958968090535745
omp2,reduction,12,0.0373524,7500958968090535745
omp2,atomic,12,0.0386218,7500958968090535745
