program,mode,threads,time,result
omp6,static,1,0.0286311,79372.589066
omp6,dynamic,1,0.0286957,79372.589066
omp6,guided,1,0.0288794,79372.589066
omp6,static,2,0.0145017,79372.589066
omp6,dynamic,2,0.0148449,79372.589066
omp6,guided,2,0.0146535,79372.589066
omp6,static,3,0.0100352,79372.589066
omp6,dynamic,3,0.0103249,79372.589066
omp6,guided,3,0.0099578,79372.589066
omp6,static,4,0.00756457,79372.589066
omp6,dynamic,4,0.00801483,79372.589066
omp6,guided,4,0.00780454,79372.589066
omp6,static,6,0.00555215,79372.589066
omp6,dynamic,6,0.00581942,79372.589066
omp6,guided,6,0.00586409,79372.589066
omp6,static,8,0.00598454,79372.589066
omp6,dynamic,8,0.00557661,79372.589066
omp6,guided,8,0.0055234,79372.589066
omp6,static,10,0.00476637,79372.589066
omp6,dynamic,10,0.00479222,79372.589066
omp6,guided,10,0.00489949,79372.589066
omp6,static,12,0.00480655,79372.589066
omp6,dynamic,12,0.00501227,79372.589066
omp6,guided,12,0.0049713,79372.589066
