taskName,argString,numThreads,timeSeconds,result,runIndex
OpenMP_3,5000000,1,0.0430825,2,1
OpenMP_3,5000000,1,0.0431213,2,2
OpenMP_3,5000000,1,0.0432183,2,3
OpenMP_3,5000000,6,0.0106194,2,1
OpenMP_3,5000000,6,0.0103162,2,2
OpenMP_3,5000000,6,0.0100781,2,3
OpenMP_3,5000000,12,0.00912581,2,1
OpenMP_3,5000000,12,0.00990063,2,2
OpenMP_3,5000000,12,0.00936364,2,3
OpenMP_3,5000000,24,0.00900716,2,1
OpenMP_3,5000000,24,0.00834718,2,2
OpenMP_3,5000000,24,0.00894264,2,3
OpenMP_3,20000000,1,0.171349,2,1
OpenMP_3,20000000,1,0.171118,2,2
OpenMP_3,20000000,1,0.171695,2,3
OpenMP_3,20000000,6,0.0410539,2,1
OpenMP_3,20000000,6,0.0405296,2,2
OpenMP_3,20000000,6,0.0445957,2,3
OpenMP_3,20000000,12,0.0339022,2,1
OpenMP_3,20000000,12,0.0330966,2,2
OpenMP_3,20000000,12,0.0329324,2,3
OpenMP_3,20000000,24,0.0308296,2,1
OpenMP_3,20000000,24,0.0313524,2,2
OpenMP_3,20000000,24,0.0304234,2,3
