program,mode,threads,time,result
omp9,flat,1,0.00578354,9044
omp9,nested,1,0.00595683,9044
omp9,flat,2,0.0029452,9044
omp9,nested,2,0.0469753,9044
omp9,flat,3,0.00199377,9044
omp9,nested,3,0.0405866,9044
omp9,flat,4,0.00161054,9044
omp9,nested,4,0.0596861,9044
omp9,flat,6,0.00119398,9044
omp9,nested,6,0.128191,9044
omp9,flat,8,0.00145494,9044
omp9,nested,8,0.176914,9044
omp9,flat,10,0.00132368,9044
omp9,nested,10,0.2371,9044
omp9,flat,12,0.00111522,9044
omp9,nested,12,0.300762,9044
omp9,flat,14,0.00137112,9044
omp9,nested,14,0.390744,9044
omp9,flat,16,0.00126885,9044
omp9,nested,16,0.465822,9044
