program,mode,threads,time,result
omp1,reduction,1,0.0957165,0
omp1,no_reduction,1,0.0964346,0
omp1,reduction,2,0.0516208,0
omp1,no_reduction,2,0.0553067,0
omp1,reduction,3,0.0348486,0
omp1,no_reduction,3,0.0330918,0
omp1,reduction,4,0.024809,0
omp1,no_reduction,4,0.0245303,0
omp1,reduction,6,0.0182205,0
omp1,no_reduction,6,0.0171214,0
omp1,reduction,8,0.0219403,0
omp1,no_reduction,8,0.0221021,0
omp1,reduction,10,0.0179493,0
omp1,no_reduction,10,0.0181006,0
omp1,reduction,12,0.0162331,0
omp1,no_reduction,12,0.0167171,0
omp1,reduction,14,0.0192158,0
omp1,no_reduction,14,0.0194135,0
omp1,reduction,16,0.0174685,0
omp1,no_reduction,16,0.0183378,0
