program,mode,threads,time,result
omp4,reduction,1,0.27722,1516
omp4,critical,1,0.264598,1516
omp4,reduction,2,0.132514,1516
omp4,critical,2,0.156352,1516
omp4,reduction,3,0.0943892,1516
omp4,critical,3,0.0990599,1516
omp4,reduction,4,0.0777317,1516
omp4,critical,4,0.0716367,1516
omp4,reduction,6,0.0544087,1516
omp4,critical,6,0.0561768,1516
omp4,reduction,8,0.0613811,1516
omp4,critical,8,0.0621587,1516
omp4,reduction,10,0.048816,1516
omp4,critical,10,0.0496614,1516
omp4,reduction,12,0.0478582,1516
omp4,critical,12,0.0465808,1516
omp4,reduction,14,0.0569741,1516
omp4,critical,14,0.0547688,1516
omp4,reduction,16,0.0486439,1516
omp4,critical,16,0.0493986,1516
