taskName,argString,numThreads,timeSeconds,result,runIndex
OpenMP_6,150000 static 8 12345,1,0.566238,5.28439e+09,1
OpenMP_6,150000 static 8 12345,1,0.564295,5.28439e+09,2
OpenMP_6,150000 static 8 12345,1,0.563947,5.28439e+09,3
OpenMP_6,150000 static 8 12345,6,0.0950824,5.28439e+09,1
OpenMP_6,150000 static 8 12345,6,0.0965056,5.28439e+09,2
OpenMP_6,150000 static 8 12345,6,0.0956028,5.28439e+09,3
OpenMP_6,150000 static 8 12345,12,0.0966387,5.28439e+09,1
OpenMP_6,150000 static 8 12345,12,0.0967916,5.28439e+09,2
OpenMP_6,150000 static 8 12345,12,0.0973367,5.28439e+09,3
OpenMP_6,150000 static 8 12345,24,0.107852,5.28439e+09,1
OpenMP_6,150000 static 8 12345,24,0.10961,5.28439e+09,2
OpenMP_6,150000 static 8 12345,24,0.107562,5.28439e+09,3
OpenMP_6,150000 dynamic 8 12345,1,0.554825,5.28439e+09,1
OpenMP_6,150000 dynamic 8 12345,1,0.552843,5.28439e+09,2
OpenMP_6,150000 dynamic 8 12345,1,0.561098,5.28439e+09,3
OpenMP_6,150000 dynamic 8 12345,6,0.0946593,5.28439e+09,1
OpenMP_6,150000 dynamic 8 12345,6,0.0961273,5.28439e+09,2
OpenMP_6,150000 dynamic 8 12345,6,0.0965042,5.28439e+09,3
OpenMP_6,150000 dynamic 8 12345,12,0.0964123,5.28439e+09,1
OpenMP_6,150000 dynamic 8 12345,12,0.0964066,5.28439e+09,2
OpenMP_6,150000 dynamic 8 12345,12,0.0969126,5.28439e+09,3
OpenMP_6,150000 dynamic 8 12345,24,0.0966134,5.28439e+09,1
OpenMP_6,150000 dynamic 8 12345,24,0.0970139,5.28439e+09,2
OpenMP_6,150000 dynamic 8 12345,24,0.0965007,5.28439e+09,3
OpenMP_6,150000 guided 8 12345,1,0.564912,5.28439e+09,1
OpenMP_6,150000 guided 8 12345,1,0.565103,5.28439e+09,2
OpenMP_6,150000 guided 8 12345,1,0.56438,5.28439e+09,3
OpenMP_6,150000 guided 8 12345,6,0.095245,5.28439e+09,1
OpenMP_6,150000 guided 8 12345,6,0.096106,5.28439e+09,2
OpenMP_6,150000 guided 8 12345,6,0.0975581,5.28439e+09,3
OpenMP_6,150000 guided 8 12345,12,0.0958464,5.28439e+09,1
OpenMP_6,150000 guided 8 12345,12,0.0987342,5.28439e+09,2
OpenMP_6,150000 guided 8 12345,12,0.0970201,5.28439e+09,3
OpenMP_6,150000 guided 8 12345,24,0.102534,5.28439e+09,1
OpenMP_6,150000 guided 8 12345,24,0.102724,5.28439e+09,2
OpenMP_6,150000 guided 8 12345,24,0.0991155,5.28439e+09,3
