taskName,argString,numThreads,timeSeconds,result,runIndex
OpenMP_5,4000 4000 triangular static 8 0 12345,1,0.00846475,534902,1
OpenMP_5,4000 4000 triangular static 8 0 12345,1,0.00844099,534902,2
OpenMP_5,4000 4000 triangular static 8 0 12345,1,0.00885084,534902,3
OpenMP_5,4000 4000 triangular static 8 0 12345,6,0.00330866,534902,1
OpenMP_5,4000 4000 triangular static 8 0 12345,6,0.0028134,534902,2
OpenMP_5,4000 4000 triangular static 8 0 12345,6,0.00324336,534902,3
OpenMP_5,4000 4000 triangular static 8 0 12345,12,0.00324504,534902,1
OpenMP_5,4000 4000 triangular static 8 0 12345,12,0.00446372,534902,2
OpenMP_5,4000 4000 triangular static 8 0 12345,12,0.00337166,534902,3
OpenMP_5,4000 4000 triangular static 8 0 12345,24,0.00356411,534902,1
OpenMP_5,4000 4000 triangular static 8 0 12345,24,0.00298088,534902,2
OpenMP_5,4000 4000 triangular static 8 0 12345,24,0.00347901,534902,3
OpenMP_5,4000 4000 triangular dynamic 8 0 12345,1,0.00848625,534902,1
OpenMP_5,4000 4000 triangular dynamic 8 0 12345,1,0.00841992,534902,2
OpenMP_5,4000 4000 triangular dynamic 8 0 12345,1,0.00848733,534902,3
OpenMP_5,4000 4000 triangular dynamic 8 0 12345,6,0.00286556,534902,1
OpenMP_5,4000 4000 triangular dynamic 8 0 12345,6,0.00277839,534902,2
OpenMP_5,4000 4000 triangular dynamic 8 0 12345,6,0.00281203,534902,3
OpenMP_5,4000 4000 triangular dynamic 8 0 12345,12,0.00279137,534902,1
OpenMP_5,4000 4000 triangular dynamic 8 0 12345,12,0.00274364,534902,2
OpenMP_5,4000 4000 triangular dynamic 8 0 12345,12,0.00254051,534902,3
OpenMP_5,4000 4000 triangular dynamic 8 0 12345,24,0.00283749,534902,1
OpenMP_5,4000 4000 triangular dynamic 8 0 12345,24,0.00285137,534902,2
OpenMP_5,4000 4000 triangular dynamic 8 0 12345,24,0.00262226,534902,3
OpenMP_5,4000 4000 triangular guided 8 0 12345,1,0.00850035,534902,1
OpenMP_5,4000 4000 triangular guided 8 0 12345,1,0.00846453,534902,2
OpenMP_5,4000 4000 triangular guided 8 0 12345,1,0.00846992,534902,3
OpenMP_5,4000 4000 triangular guided 8 0 12345,6,0.00282204,534902,1
OpenMP_5,4000 4000 triangular guided 8 0 12345,6,0.00233209,534902,2
OpenMP_5,4000 4000 triangular guided 8 0 12345,6,0.00225039,534902,3
OpenMP_5,4000 4000 triangular guided 8 0 12345,12,0.00229172,534902,1
OpenMP_5,4000 4000 triangular guided 8 0 12345,12,0.00239046,534902,2
OpenMP_5,4000 4000 triangular guided 8 0 12345,12,0.00263417,534902,3
OpenMP_5,4000 4000 triangular guided 8 0 12345,24,0.00281648,534902,1
OpenMP_5,4000 4000 triangular guided 8 0 12345,24,0.00279185,534902,2
OpenMP_5,4000 4000 triangular guided 8 0 12345,24,0.00312296,534902,3
OpenMP_5,4000 4000 banded static 8 12 12345,1,0.000148542,281388,1
OpenMP_5,4000 4000 banded static 8 12 12345,1,0.00014744,281388,2
OpenMP_5,4000 4000 banded static 8 12 12345,1,0.00015281,281388,3
OpenMP_5,4000 4000 banded static 8 12 12345,6,0.000266596,281388,1
OpenMP_5,4000 4000 banded static 8 12 12345,6,0.000222142,281388,2
OpenMP_5,4000 4000 banded static 8 12 12345,6,0.000208726,281388,3
OpenMP_5,4000 4000 banded static 8 12 12345,12,0.000352339,281388,1
OpenMP_5,4000 4000 banded static 8 12 12345,12,0.000432231,281388,2
OpenMP_5,4000 4000 banded static 8 12 12345,12,0.000438282,281388,3
OpenMP_5,4000 4000 banded static 8 12 12345,24,0.000881975,281388,1
OpenMP_5,4000 4000 banded static 8 12 12345,24,0.00100796,281388,2
OpenMP_5,4000 4000 banded static 8 12 12345,24,0.00090062,281388,3
OpenMP_5,4000 4000 banded dynamic 8 12 12345,1,0.000124236,281388,1
OpenMP_5,4000 4000 banded dynamic 8 12 12345,1,0.000128915,281388,2
OpenMP_5,4000 4000 banded dynamic 8 12 12345,1,0.000124085,281388,3
OpenMP_5,4000 4000 banded dynamic 8 12 12345,6,0.000204668,281388,1
OpenMP_5,4000 4000 banded dynamic 8 12 12345,6,0.000261026,281388,2
