program,mode,threads,time,result
omp8,sequential,1,1.05262,6751206128832361132
omp8,parallel_sections,1,1.02389,6751206128832361132
omp8,sequential,2,1.06667,6751206128832361132
omp8,parallel_sections,2,0.823449,6751206128832361132
omp8,sequential,3,1.0367,6751206128832361132
omp8,parallel_sections,3,0.815602,6751206128832361132
omp8,sequential,4,1.02622,6751206128832361132
omp8,parallel_sections,4,0.797464,6751206128832361132
omp8,sequential,6,1.04091,6751206128832361132
omp8,parallel_sections,6,0.790497,6751206128832361132
omp8,sequential,8,1.06384,6751206128832361132
omp8,parallel_sections,8,0.808716,6751206128832361132
omp8,sequential,10,1.02244,6751206128832361132
omp8,parallel_sections,10,0.809698,6751206128832361132
omp8,sequential,12,1.04556,6751206128832361132
omp8,parallel_sections,12,0.824308,6751206128832361132
omp8,sequential,14,1.04075,6751206128832361132
omp8,parallel_sections,14,0.830839,6751206128832361132
omp8,sequential,16,1.04353,6751206128832361132
omp8,parallel_sections,16,0.840456,6751206128832361132
