taskName,argString,numThreads,timeSeconds,result,runIndex
OpenMP_2,1000000 12345,1,0.0016137,167.471,1
OpenMP_2,1000000 12345,1,0.0016028,167.471,2
OpenMP_2,1000000 12345,1,0.00165398,167.471,3
OpenMP_2,1000000 12345,6,0.00120972,167.471,1
OpenMP_2,1000000 12345,6,0.00120367,167.471,2
OpenMP_2,1000000 12345,6,0.00114737,167.471,3
OpenMP_2,1000000 12345,12,0.00156748,167.471,1
OpenMP_2,1000000 12345,12,0.00266116,167.471,2
OpenMP_2,1000000 12345,12,0.00154928,167.471,3
OpenMP_2,1000000 12345,24,0.00226114,167.471,1
OpenMP_2,1000000 12345,24,0.00216548,167.471,2
OpenMP_2,1000000 12345,24,0.00207993,167.471,3
OpenMP_2,5000000 12345,1,0.00775174,845.256,1
OpenMP_2,5000000 12345,1,0.00769862,845.256,2
OpenMP_2,5000000 12345,1,0.00772073,845.256,3
OpenMP_2,5000000 12345,6,0.00332058,845.256,1
OpenMP_2,5000000 12345,6,0.00337207,845.256,2
OpenMP_2,5000000 12345,6,0.00328744,845.256,3
OpenMP_2,5000000 12345,12,0.00376679,845.256,1
OpenMP_2,5000000 12345,12,0.00382071,845.256,2
OpenMP_2,5000000 12345,12,0.00426985,845.256,3
OpenMP_2,5000000 12345,24,0.00472224,845.256,1
OpenMP_2,5000000 12345,24,0.00429594,845.256,2
OpenMP_2,5000000 12345,24,0.00398213,845.256,3
